id,Date,State,Total Confirmed Cases,Total Deaths
343,Fri 12/30,Colorado,1734673,13899
344,Fri 12/30,Connecticut,948001,11781
345,Fri 12/30,Delaware,321888,3206
346,Fri 12/30,District of Columbia,173626,1411
347,Fri 12/30,Florida,7269428,83911
348,Fri 12/30,Georgia,2898584,39964
349,Fri 12/30,Guam,60845,412
350,Fri 12/30,Hawaii,363188,1758
351,Fri 12/30,Idaho,511722,5329
352,Fri 12/30,Illinois,3976840,40678
353,Fri 12/30,Indiana,2002760,25364
354,Fri 12/30,Iowa,886411,10424
355,Fri 12/30,Kansas,917091,9859
356,Fri 12/30,Kentucky,1660077,17751
357,Fri 12/30,Louisiana,1514113,18370
358,Fri 12/30,Maine,306429,2808
359,Fri 12/30,Maryland,1318510,16034
360,Fri 12/30,Massachusetts,2154886,22940
361,Fri 12/30,Michigan,2979504,40767
362,Fri 12/30,Minnesota,1736893,14320
363,Fri 12/30,Mississippi,955145,13124
364,Fri 12/30,Missouri,1743492,23282
365,Fri 12/30,Montana,323245,3639
366,Fri 12/30,Nebraska,556647,4843
367,Fri 12/30,Nevada,876118,11880
368,Fri 12/30,New Hampshire,367542,2856
369,Fri 12/30,New Jersey,2926834,35533
370,Fri 12/30,New Mexico,659056,8828
371,Fri 12/30,New York,6560495,77722
372,Fri 12/30,North Carolina,3316814,28789
373,Fri 12/30,North Dakota,280583,2474
374,Fri 12/30,Northern Mariana Islands,13236,41
375,Fri 12/30,Ohio,3307568,41018
376,Fri 12/30,Oklahoma,1250013,16054
377,Fri 12/30,Oregon,939303,8967
378,Fri 12/30,Pennsylvania,3416142,48972
379,Fri 12/30,Puerto Rico,1085895,5535
380,Fri 12/30,Rhode Island,443645,3800
381,Fri 12/30,South Carolina,1770059,19385
382,Fri 12/30,South Dakota,271856,3138
383,Fri 12/30,Tennessee,2367936,28274
384,Fri 12/30,Texas,8111323,92709
385,Fri 12/30,Utah,1075137,5187
386,Fri 12/30,Vermont,148393,791
387,Fri 12/30,Virgin Islands,23769,127
388,Fri 12/30,Virginia,2205518,22793
389,Fri 12/30,Washington,1883676,15067
390,Fri 12/30,West Virginia,624721,7795
391,Fri 12/30,Wisconsin,1960884,15860
392,Fri 12/30,Wyoming,182847,1959
393,Sat 12/31,Alabama,1573637,21208
394,Sat 12/31,Alaska,301774,1408
395,Sat 12/31,American Samoa,8266,34
396,Sat 12/31,Arizona,2378334,32182
397,Sat 12/31,Arkansas,985493,12703
398,Sat 12/31,California,11826466,100865
399,Sat 12/31,Colorado,1734673,13899
400,Sat 12/31,Connecticut,948001,11781
401,Sat 12/31,Delaware,321888,3206
402,Sat 12/31,District of Columbia,173626,1411
403,Sat 12/31,Florida,7269428,83911
404,Sat 12/31,Georgia,2898584,39964
405,Sat 12/31,Guam,60845,412
406,Sat 12/31,Hawaii,363188,1758
407,Sat 12/31,Idaho,511722,5329
408,Sat 12/31,Illinois,3976840,40678
409,Sat 12/31,Indiana,2002760,25364
410,Sat 12/31,Iowa,886411,10424
411,Sat 12/31,Kansas,917091,9859
412,Sat 12/31,Kentucky,1660077,17751
413,Sat 12/31,Louisiana,1514113,18370
414,Sat 12/31,Maine,306647,2811
415,Sat 12/31,Maryland,1318510,16034
416,Sat 12/31,Massachusetts,2154886,22940
417,Sat 12/31,Michigan,2979504,40767
418,Sat 12/31,Minnesota,1736893,14320
419,Sat 12/31,Mississippi,955145,13124
420,Sat 12/31,Missouri,1743492,23282
421,Sat 12/31,Montana,323245,3639
422,Sat 12/31,Nebraska,556647,4843
423,Sat 12/31,Nevada,876118,11880
424,Sat 12/31,New Hampshire,367542,2856
425,Sat 12/31,New Jersey,2926834,35533
426,Sat 12/31,New Mexico,659056,8828
427,Sat 12/31,New York,6563605,77722
428,Sat 12/31,North Carolina,3316814,28789
429,Sat 12/31,North Dakota,280583,2474
430,Sat 12/31,Northern Mariana Islands,13236,41
431,Sat 12/31,Ohio,3307568,41018
432,Sat 12/31,Oklahoma,1250013,16054
433,Sat 12/31,Oregon,939303,8967
434,Sat 12/31,Pennsylvania,3416142,48972
435,Sat 12/31,Puerto Rico,1087420,5541
436,Sat 12/31,Rhode Island,443645,3800
437,Sat 12/31,South Carolina,1770059,19385
438,Sat 12/31,South Dakota,271856,3138
439,Sat 12/31,Tennessee,2367936,28274
440,Sat 12/31,Texas,8111323,92709
441,Sat 12/31,Utah,1075137,5187
442,Sat 12/31,Vermont,148393,791
443,Sat 12/31,Virgin Islands,23769,127
444,Sat 12/31,Virginia,2205518,22793
445,Sat 12/31,Washington,1883676,15067
446,Sat 12/31,West Virginia,624721,7795
447,Sat 12/31,Wisconsin,1960884,15860
448,Sat 12/31,Wyoming,182847,1959
449,Sun 1/1,Alabama,1573637,21208
450,Sun 1/1,Alaska,301774,1408
451,Sun 1/1,American Samoa,8266,34
452,Sun 1/1,Arizona,2378334,32182
453,Sun 1/1,Arkansas,985747,12703
454,Sun 1/1,California,11826523,100865
455,Sun 1/1,Colorado,1734673,13899
456,Sun 1/1,Connecticut,949324,11781
457,Sun 1/1,Delaware,321888,3206
458,Sun 1/1,District of Columbia,173626,1411
459,Sun 1/1,Florida,7269428,83911
460,Sun 1/1,Georgia,2898584,39964
461,Sun 1/1,Guam,60845,412
